"","movieId","title","totalRating","qtdObs","qtdGenres"
"44",45,"To Die For (1995)",102.5,38,"more"
"45",46,"How to Make an American Quilt (1995)",151.5,43,"more"
"46",47,"Seven (a.k.a. Se7en) (1995)",38,12,"more"
"47",48,"Pocahontas (1995)",811,201,"more"
"48",49,"When Night Is Falling (1995)",178.5,61,"more"
"49",50,"Usual Suspects, The (1995)",8,2,"more"
"50",52,"Mighty Aphrodite (1995)",878.5,201,"more"
"51",53,"Lamerica (1994)",0,0,"more"
"52",54,"Big Green, The (1995)",185.5,51,"more"
"53",55,"Georgia (1995)",5,1,"one"
"54",57,"Home for the Holidays (1995)",11,3,"one"
"55",58,"Postman, The (Postino, Il) (1994)",20,6,"more"
"56",59,"Confessional, The (Confessionnal, Le) (1995)",0,0,"more"
"57",60,"Indian in the Cupboard, The (1995)",44,14,"more"
"58",61,"Eye for an Eye (1996)",180,45,"more"
"59",62,"Mr. Holland's Opus (1995)",8,2,"one"
"60",63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",90.5,32,"more"
"61",64,"Two if by Sea (1996)",25,7,"more"
"62",65,"Bio-Dome (1996)",321,87,"one"
"63",66,"Lawnmower Man 2: Beyond Cyberspace (1996)",17,6,"more"
"64",68,"French Twist (Gazon maudit) (1995)",24,10,"more"
"65",69,"Friday (1995)",40.5,20,"one"
"66",70,"From Dusk Till Dawn (1996)",10,5,"more"
"67",71,"Fair Game (1995)",0,0,"one"
"68",72,"Kicking and Screaming (1995)",28,8,"more"
"69",73,"Misérables, Les (1995)",84,22,"more"
"70",74,"Bed of Roses (1996)",145,48,"more"
"71",76,"Screamers (1995)",17,7,"more"
"72",77,"Nico Icon (1995)",19,6,"one"
"73",78,"Crossing Guard, The (1995)",53.5,13,"more"
"74",79,"Juror, The (1996)",57.5,19,"more"
"75",80,"White Balloon, The (Badkonake sefid) (1995)",0,0,"more"
"76",81,"Things to Do in Denver When You're Dead (1995)",50,15,"more"
"77",82,"Antonia's Line (Antonia) (1995)",8,2,"more"
"78",83,"Once Upon a Time... When We Were Colored (1995)",32,10,"more"
"79",84,"Last Summer in the Hamptons (1995)",77,26,"more"
"80",85,"Angels and Insects (1995)",18.5,4,"more"
"81",86,"White Squall (1996)",58.5,18,"more"
"82",87,"Dunston Checks In (1996)",38,10,"more"
"83",88,"Black Sheep (1996)",9,3,"one"
"84",89,"Nick of Time (1995)",4,1,"more"
"85",92,"Mary Reilly (1996)",65,16,"more"
"86",93,"Vampire in Brooklyn (1995)",64,17,"more"
"87",94,"Beautiful Girls (1996)",5,3,"more"
"88",95,"Broken Arrow (1996)",66.5,23,"more"
"89",96,"In the Bleak Midwinter (1995)",58.5,17,"more"
"90",97,"Hate (Haine, La) (1995)",0,0,"more"
"91",98,"Shopping (1994)",0,0,"more"
"92",99,"Heidi Fleiss: Hollywood Madam (1995)",42.5,12,"one"
"93",100,"City Hall (1996)",24.5,11,"more"
"94",101,"Bottle Rocket (1996)",78.5,22,"more"
"95",102,"Mr. Wrong (1996)",295.5,93,"one"
"96",103,"Unforgettable (1996)",1,1,"more"
"97",104,"Happy Gilmore (1996)",31,8,"one"
"98",105,"Bridges of Madison County, The (1995)",3,1,"more"
"99",107,"Muppet Treasure Island (1996)",11,4,"more"
"100",108,"Catwalk (1996)",72,21,"one"
"101",110,"Braveheart (1995)",66,17,"more"
"102",111,"Taxi Driver (1976)",28.5,11,"more"
"103",112,"Rumble in the Bronx (Hont faan kui) (1995)",16,4,"more"
"104",113,"Before and After (1996)",309.5,94,"more"
"105",114,"Margaret's Museum (1995)",149.5,48,"one"
"106",116,"Anne Frank Remembered (1995)",0,0,"one"
"107",117,"Young Poisoner's Handbook, The (1995)",93.5,27,"more"
"108",118,"If Lucy Fell (1996)",4,1,"more"
"109",119,"Steal Big, Steal Little (1995)",0,0,"one"
"110",121,"Boys of St. Vincent, The (1992)",899.5,228,"one"
"111",122,"Boomerang (1992)",498.5,118,"more"
"112",123,"Chungking Express (Chung Hing sam lam) (1994)",161.5,49,"more"
"113",124,"Star Maker, The (Uomo delle stelle, L') (1995)",16,5,"one"
"114",125,"Flirting With Disaster (1996)",3,1,"one"
"115",126,"NeverEnding Story III, The (1994)",0,0,"more"
"116",129,"Pie in the Sky (1996)",28.5,6,"more"
"117",130,"Angela (1995)",18,6,"one"
"118",131,"Frankie Starlight (1995)",14,5,"more"
"119",132,"Jade (1995)",3,1,"one"
"120",135,"Down Periscope (1996)",0,0,"one"
"121",137,"Man of the Year (1995)",19,5,"one"
"122",140,"Up Close and Personal (1996)",58,19,"more"
"123",141,"Birdcage, The (1996)",28,7,"one"
"124",144,"Brothers McMullen, The (1995)",3,1,"one"
"125",145,"Bad Boys (1995)",78,21,"more"
"126",146,"Amazing Panda Adventure, The (1995)",27,10,"more"
"127",147,"Basketball Diaries, The (1995)",0,0,"one"
"128",148,"Awfully Big Adventure, An (1995)",0,0,"one"
"129",149,"Amateur (1994)",3,1,"more"
"130",150,"Apollo 13 (1995)",4.5,1,"more"
"131",151,"Rob Roy (1995)",2,1,"more"
"132",152,"Addiction, The (1995)",23,8,"more"
"133",153,"Batman Forever (1995)",0,0,"more"
"134",154,"Beauty of the Day (Belle de jour) (1967)",0,0,"one"
"135",155,"Beyond Rangoon (1995)",81,27,"more"
"136",156,"Blue in the Face (1995)",0,0,"more"
"137",157,"Canadian Bacon (1995)",1,1,"more"
"138",158,"Casper (1995)",0,0,"more"
"139",159,"Clockers (1995)",0,0,"more"
"140",160,"Congo (1995)",80,23,"more"
"141",161,"Crimson Tide (1995)",333,93,"more"
"142",162,"Crumb (1994)",0,0,"one"
"143",163,"Desperado (1995)",0,0,"more"
"144",164,"Devil in a Blue Dress (1995)",86.5,26,"more"
"145",165,"Die Hard: With a Vengeance (1995)",141,43,"more"
"146",166,"Doom Generation, The (1995)",13,3,"more"
"147",167,"Feast of July (1995)",76.5,21,"one"
"148",168,"First Knight (1995)",4,1,"more"
"149",169,"Free Willy 2: The Adventure Home (1995)",26,6,"more"
"150",170,"Hackers (1995)",780.5,200,"more"
"151",171,"Jeffrey (1995)",171,48,"more"
"152",172,"Johnny Mnemonic (1995)",11.5,3,"more"
"153",173,"Judge Dredd (1995)",359,129,"more"
"154",174,"Jury Duty (1995)",61,16,"one"
"155",175,"Kids (1995)",27.5,9,"one"
"156",176,"Living in Oblivion (1995)",43.5,11,"one"
"157",177,"Lord of Illusions (1995)",19,8,"one"
"158",178,"Love & Human Remains (1993)",166.5,58,"more"
"159",179,"Mad Love (1995)",31.5,8,"more"
"160",180,"Mallrats (1995)",147.5,63,"more"
"161",181,"Mighty Morphin Power Rangers: The Movie (1995)",306.5,80,"more"
"162",183,"Mute Witness (1994)",136.5,33,"more"
"163",184,"Nadja (1994)",221.5,63,"one"
"164",185,"Net, The (1995)",92.5,26,"more"
"165",186,"Nine Months (1995)",489,142,"more"
"166",187,"Party Girl (1995)",12,4,"one"
"167",188,"Prophecy, The (1995)",4,1,"more"
"168",189,"Reckless (1995)",134,43,"more"
"169",190,"Safe (1995)",20.5,8,"one"
"170",191,"Scarlet Letter, The (1995)",85.5,26,"more"
"171",193,"Showgirls (1995)",26,6,"one"
"172",194,"Smoke (1995)",123.5,48,"more"
"173",195,"Something to Talk About (1995)",179.5,70,"more"
"174",196,"Species (1995)",9,4,"more"
"175",198,"Strange Days (1995)",91,23,"more"
"176",199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",68,18,"more"
"177",200,"Tie That Binds, The (1995)",37.5,13,"one"
"178",201,"Three Wishes (1995)",23.5,5,"more"
"179",202,"Total Eclipse (1995)",21,6,"more"
"180",203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",145.5,44,"one"
"181",204,"Under Siege 2: Dark Territory (1995)",27,15,"one"
"182",205,"Unstrung Heroes (1995)",0,0,"more"
"183",206,"Unzipped (1995)",5,1,"one"
"184",207,"Walk in the Clouds, A (1995)",9,2,"more"
"185",208,"Waterworld (1995)",316.5,102,"more"
"186",209,"White Man's Burden (1995)",138,48,"one"
"187",211,"Browning Version, The (1994)",8.5,3,"one"
"188",213,"Burnt by the Sun (Utomlyonnye solntsem) (1994)",50,16,"one"
"189",214,"Before the Rain (Pred dozhdot) (1994)",4,1,"more"
"190",215,"Before Sunrise (1995)",23,6,"more"
"191",216,"Billy Madison (1995)",15,5,"one"
"192",217,"Babysitter, The (1995)",0,0,"more"
"193",218,"Boys on the Side (1995)",81,35,"more"
"194",219,"Cure, The (1995)",103,24,"one"
"195",220,"Castle Freak (1995)",45,14,"one"
"196",222,"Circle of Friends (1995)",154.5,55,"more"
"197",223,"Clerks (1994)",0,0,"one"
"198",224,"Don Juan DeMarco (1995)",148,43,"more"
"199",225,"Disclosure (1994)",10,3,"more"
"200",227,"Drop Zone (1994)",4,1,"more"
"201",228,"Destiny Turns on the Radio (1995)",4,1,"one"
"202",229,"Death and the Maiden (1994)",12,4,"more"
"203",230,"Dolores Claiborne (1995)",76,23,"more"
"204",231,"Dumb & Dumber (Dumb and Dumber) (1994)",93,31,"more"
"205",232,"Eat Drink Man Woman (Yin shi nan nu) (1994)",16,4,"more"
"206",233,"Exotica (1994)",36,10,"one"
"207",234,"Exit to Eden (1994)",94.5,28,"one"
"208",235,"Ed Wood (1994)",311,113,"more"
"209",236,"French Kiss (1995)",13,5,"more"
"210",237,"Forget Paris (1995)",0,0,"more"
"211",238,"Far From Home: The Adventures of Yellow Dog (1995)",10,3,"more"
"212",239,"Goofy Movie, A (1995)",0,0,"more"
"213",240,"Hideaway (1995)",38,9,"one"
"214",241,"Fluke (1995)",6,2,"more"
"215",242,"Farinelli: il castrato (1994)",67,18,"more"
"216",243,"Gordy (1995)",127,42,"more"
"217",244,"Gumby: The Movie (1995)",19,7,"more"
"218",245,"The Glass Shield (1994)",50,15,"more"
"219",246,"Hoop Dreams (1994)",17,4,"one"
"220",247,"Heavenly Creatures (1994)",6,2,"more"
"221",248,"Houseguest (1994)",0,0,"one"
"222",249,"Immortal Beloved (1994)",86.5,22,"more"
"223",250,"Heavyweights (Heavy Weights) (1995)",432,109,"more"
"224",251,"Hunted, The (1995)",126,35,"one"
"225",252,"I.Q. (1994)",165,52,"more"
"226",253,"Interview with the Vampire: The Vampire Chronicles (1994)",0,0,"more"
"227",254,"Jefferson in Paris (1995)",50.5,16,"one"
"228",255,"Jerky Boys, The (1995)",2,1,"one"
"229",256,"Junior (1994)",49,12,"more"
"230",257,"Just Cause (1995)",92.5,25,"more"
"231",258,"Kid in King Arthur's Court, A (1995)",491.5,158,"more"
"232",259,"Kiss of Death (1995)",101,24,"more"
"233",260,"Star Wars: Episode IV - A New Hope (1977)",55.5,13,"more"
"234",261,"Little Women (1994)",33,12,"one"
"235",262,"Little Princess, A (1995)",304.5,78,"more"
"236",263,"Ladybird Ladybird (1994)",201.5,60,"one"
"237",264,"Enfer, L' (1994)",108.5,34,"one"
"238",265,"Like Water for Chocolate (Como agua para chocolate) (1992)",15,5,"more"
"239",266,"Legends of the Fall (1994)",44,15,"more"
"240",267,"Major Payne (1995)",17,5,"one"
"241",268,"Little Odessa (1994)",14,4,"more"
"242",269,"My Crazy Life (Mi vida loca) (1993)",15,4,"one"
"243",270,"Love Affair (1994)",4,1,"more"
"244",271,"Losing Isaiah (1995)",3,1,"one"
"245",272,"Madness of King George, The (1994)",3,1,"more"
"246",273,"Mary Shelley's Frankenstein (Frankenstein) (1994)",246.5,61,"more"
"247",274,"Man of the House (1995)",157,43,"one"
"248",275,"Mixed Nuts (1994)",41,13,"one"
"249",276,"Milk Money (1994)",67.5,20,"more"
"250",277,"Miracle on 34th Street (1994)",13,4,"one"
"251",278,"Miami Rhapsody (1995)",3,1,"one"
"252",279,"My Family (1995)",125.5,41,"one"
"253",280,"Murder in the First (1995)",424.5,125,"more"
"254",281,"Nobody's Fool (1994)",12,4,"more"
"255",282,"Nell (1994)",11,5,"one"
"256",283,"New Jersey Drive (1995)",113.5,42,"more"
"257",285,"Beyond Bedlam (1993)",46.5,13,"more"
"258",287,"Nina Takes a Lover (1994)",27.5,11,"more"
"259",288,"Natural Born Killers (1994)",18.5,5,"more"
"260",289,"Only You (1994)",1228.5,291,"more"
"261",290,"Once Were Warriors (1994)",189.5,51,"more"
"262",291,"Poison Ivy II (1996)",77,20,"more"
"263",292,"Outbreak (1995)",3,1,"more"
"264",293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)",9,2,"more"
"265",294,"Perez Family, The (1995)",240.5,62,"more"
"266",295,"Pyromaniac's Love Story, A (1995)",254.5,73,"more"
"267",296,"Pulp Fiction (1994)",35.5,13,"more"
"268",299,"Priest (1994)",17,4,"one"
"269",300,"Quiz Show (1994)",11,3,"one"
"270",301,"Picture Bride (Bijo photo) (1994)",29,9,"more"
"271",302,"Queen Margot (Reine Margot, La) (1994)",14,4,"more"
"272",303,"Quick and the Dead, The (1995)",156,39,"more"
"273",304,"Roommates (1995)",84.5,27,"more"
"274",305,"Ready to Wear (Pret-A-Porter) (1994)",8,3,"one"
"275",306,"Three Colors: Red (Trois couleurs: Rouge) (1994)",14,5,"one"
"276",307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)",63,22,"one"
"277",308,"Three Colors: White (Trzy kolory: Bialy) (1994)",117.5,35,"more"
"278",309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",15,5,"one"
"279",312,"Stuart Saves His Family (1995)",11.5,4,"one"
"280",313,"Swan Princess, The (1994)",90.5,22,"more"
"281",314,"Secret of Roan Inish, The (1994)",69.5,18,"more"
"282",315,"Specialist, The (1994)",144.5,44,"more"
"283",316,"Stargate (1994)",3,1,"more"
"284",317,"Santa Clause, The (1994)",0,0,"more"
"285",318,"Shawshank Redemption, The (1994)",4,1,"more"
"286",319,"Shallow Grave (1994)",0,0,"more"
"287",320,"Suture (1993)",16,5,"more"
"288",321,"Strawberry and Chocolate (Fresa y chocolate) (1993)",357,107,"one"
"289",322,"Swimming with Sharks (1995)",48.5,14,"more"
"290",324,"Sum of Us, The (1994)",63,16,"more"
"291",325,"National Lampoon's Senior Trip (1995)",12,6,"one"
"292",326,"To Live (Huozhe) (1994)",364,110,"one"
"293",327,"Tank Girl (1995)",537.5,132,"more"
"294",328,"Tales from the Crypt Presents: Demon Knight (1995)",10,3,"more"
"295",329,"Star Trek: Generations (1994)",12,4,"more"
"296",330,"Tales from the Hood (1995)",1379,324,"more"
"297",331,"Tom & Viv (1994)",0,0,"one"
"298",332,"Village of the Damned (1995)",0,0,"more"
"299",333,"Tommy Boy (1995)",60,16,"one"
"300",334,"Vanya on 42nd Street (1994)",337.5,90,"one"
"301",335,"Underneath (1995)",5,1,"more"
"302",336,"Walking Dead, The (1995)",26,7,"more"
"303",337,"What's Eating Gilbert Grape (1993)",76.5,24,"one"
"304",338,"Virtuosity (1995)",10,3,"more"
"305",339,"While You Were Sleeping (1995)",33,12,"more"
"306",340,"War, The (1994)",133.5,32,"more"
"307",341,"Double Happiness (1994)",128.5,31,"one"
"308",342,"Muriel's Wedding (1994)",91.5,22,"one"
"309",343,"Baby-Sitters Club, The (1995)",15,3,"one"
"310",344,"Ace Ventura: Pet Detective (1994)",0,0,"one"
"311",345,"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,"more"
"312",346,"Backbeat (1993)",18,5,"more"
"313",347,"Bitter Moon (1992)",19,7,"more"
"314",348,"Bullets Over Broadway (1994)",67,17,"one"
"315",349,"Clear and Present Danger (1994)",128,44,"more"
"316",350,"Client, The (1994)",488.5,145,"more"
"317",351,"Corrina, Corrina (1994)",207.5,70,"more"
"318",352,"Crooklyn (1994)",1395.5,311,"more"
"319",353,"Crow, The (1994)",151,38,"more"
"320",354,"Cobb (1994)",11,4,"one"
"321",355,"Flintstones, The (1994)",25.5,7,"more"
"322",356,"Forrest Gump (1994)",51,14,"more"
"323",357,"Four Weddings and a Funeral (1994)",0,0,"more"
"324",358,"Higher Learning (1995)",10,3,"one"
"325",360,"I Love Trouble (1994)",3,1,"more"
"326",361,"It Could Happen to You (1994)",28.5,7,"more"
"327",362,"Jungle Book, The (1994)",71.5,26,"more"
"328",363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",29,8,"one"
"329",364,"Lion King, The (1994)",382,114,"more"
"330",365,"Little Buddha (1993)",27,10,"one"
"331",366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",18,6,"more"
"332",367,"Mask, The (1994)",32,10,"more"
"333",368,"Maverick (1994)",166,50,"more"
"334",369,"Mrs. Parker and the Vicious Circle (1994)",43,14,"one"
"335",370,"Naked Gun 33 1/3: The Final Insult (1994)",9,3,"more"
"336",371,"Paper, The (1994)",3,1,"more"
"337",372,"Reality Bites (1994)",334,88,"more"
"338",373,"Red Rock West (1992)",42,15,"one"
"339",374,"Richie Rich (1994)",347.5,101,"more"
"340",375,"Safe Passage (1994)",24,8,"one"
"341",376,"River Wild, The (1994)",9,2,"more"
"342",377,"Speed (1994)",192.5,56,"more"
"343",378,"Speechless (1994)",3,1,"more"
"344",379,"Timecop (1994)",502.5,175,"more"
"345",380,"True Lies (1994)",180,48,"more"
"346",381,"When a Man Loves a Woman (1994)",18,6,"more"
"347",382,"Wolf (1994)",27,7,"more"
"348",383,"Wyatt Earp (1994)",157.5,40,"one"
"349",384,"Bad Company (1995)",435.5,115,"more"
"350",387,"Low Down Dirty Shame, A (1994)",233,70,"more"
"351",388,"Boys Life (1995)",41.5,13,"one"
"352",389,"Colonel Chabert, Le (1994)",23.5,7,"more"
"353",390,"Faster Pussycat! Kill! Kill! (1965)",240.5,67,"more"
"354",391,"Jason's Lyric (1994)",7,2,"more"
"355",392,"Secret Adventures of Tom Thumb, The (1993)",86,39,"more"
"356",393,"Street Fighter (1994)",1382.5,341,"more"
"357",401,"Mirage (1995)",449.5,122,"more"
"358",405,"Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)",17,7,"more"
"359",407,"In the Mouth of Madness (1995)",0,0,"more"
"360",408,"8 Seconds (1994)",30,12,"one"
"361",409,"Above the Rim (1994)",84.5,25,"more"
"362",410,"Addams Family Values (1993)",103.5,30,"more"
"363",412,"Age of Innocence, The (1993)",22.5,5,"one"
"364",413,"Airheads (1994)",755.5,200,"one"
"365",414,"Air Up There, The (1994)",30,10,"one"
"366",415,"Another Stakeout (1993)",36,11,"more"
"367",416,"Bad Girls (1994)",482,157,"one"
"368",417,"Barcelona (1994)",251,71,"more"
"369",418,"Being Human (1993)",27.5,9,"one"
"370",419,"Beverly Hillbillies, The (1993)",204.5,67,"one"
"371",420,"Beverly Hills Cop III (1994)",65,20,"more"
"372",421,"Black Beauty (1994)",104,34,"more"
"373",422,"Blink (1994)",74.5,18,"one"
"374",423,"Blown Away (1994)",42,20,"more"
"375",424,"Blue Chips (1994)",11,3,"one"
"376",425,"Blue Sky (1994)",161,47,"more"
"377",426,"Body Snatchers (1993)",642,180,"more"
"378",427,"Boxing Helena (1993)",39,12,"more"
"379",428,"Bronx Tale, A (1993)",68.5,21,"one"
"380",429,"Cabin Boy (1994)",696,198,"one"
"381",431,"Carlito's Way (1993)",91,29,"more"
"382",432,"City Slickers II: The Legend of Curly's Gold (1994)",59,19,"more"
"383",433,"Clean Slate (1994)",40.5,13,"one"
"384",434,"Cliffhanger (1993)",13,4,"more"
"385",435,"Coneheads (1993)",0,0,"more"
"386",436,"Color of Night (1994)",0,0,"more"
"387",437,"Cops and Robbersons (1994)",11,3,"one"
"388",438,"Cowboy Way, The (1994)",22,6,"more"
"389",439,"Dangerous Game (1993)",4,1,"one"
"390",440,"Dave (1993)",20.5,5,"more"
"391",441,"Dazed and Confused (1993)",9,3,"one"
"392",442,"Demolition Man (1993)",8,3,"more"
"393",443,"Endless Summer 2, The (1994)",10.5,5,"more"
"394",444,"Even Cowgirls Get the Blues (1993)",0,0,"more"
"395",445,"Fatal Instinct (1993)",0,0,"one"
"396",446,"Farewell My Concubine (Ba wang bie ji) (1993)",0,0,"more"
"397",447,"Favor, The (1994)",0,0,"more"
"398",448,"Fearless (1993)",0,0,"one"
"399",449,"Fear of a Black Hat (1994)",0,0,"one"
"400",450,"With Honors (1994)",0,0,"more"
"401",451,"Flesh and Bone (1993)",4,1,"more"
"402",452,"Widows' Peak (1994)",0,0,"one"
"403",453,"For Love or Money (1993)",0,0,"more"
"404",454,"Firm, The (1993)",0,0,"more"
"405",455,"Free Willy (1993)",37,16,"more"
"406",456,"Fresh (1994)",0,0,"more"
"407",457,"Fugitive, The (1993)",30.5,10,"one"
"408",458,"Geronimo: An American Legend (1993)",3,1,"more"
"409",459,"Getaway, The (1994)",2.5,1,"more"
"410",460,"Getting Even with Dad (1994)",230,73,"one"
"411",461,"Go Fish (1994)",0,0,"more"
"412",463,"Guilty as Sin (1993)",88.5,25,"more"
"413",464,"Hard Target (1993)",60,26,"more"
"414",465,"Heaven & Earth (1993)",17.5,7,"more"
"415",466,"Hot Shots! Part Deux (1993)",34,12,"more"
"416",467,"Live Nude Girls (1995)",19.5,6,"one"
"417",468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",47,13,"more"
"418",469,"House of the Spirits, The (1993)",6,2,"more"
"419",470,"House Party 3 (1994)",39,15,"one"
"420",471,"Hudsucker Proxy, The (1994)",150,57,"one"
"421",472,"I'll Do Anything (1994)",33,11,"more"
"422",473,"In the Army Now (1994)",33.5,9,"more"
"423",474,"In the Line of Fire (1993)",47.5,14,"more"
"424",475,"In the Name of the Father (1993)",9,3,"one"
"425",476,"Inkwell, The (1994)",15.5,4,"more"
"426",477,"What's Love Got to Do with It? (1993)",38,12,"more"
"427",479,"Judgment Night (1993)",34,14,"more"
"428",480,"Jurassic Park (1993)",85.5,23,"more"
"429",481,"Kalifornia (1993)",23,9,"more"
"430",482,"Killing Zoe (1994)",0,0,"more"
"431",483,"King of the Hill (1993)",117.5,32,"one"
"432",484,"Lassie (1994)",167,63,"more"
"433",485,"Last Action Hero (1993)",20,7,"more"
"434",486,"Life with Mikey (1993)",327,106,"one"
"435",487,"Lightning Jack (1994)",135.5,55,"more"
"436",488,"M. Butterfly (1993)",11,5,"more"
"437",489,"Made in America (1993)",11,4,"one"
"438",490,"Malice (1993)",6,2,"one"
"439",491,"Man Without a Face, The (1993)",1,1,"one"
"440",492,"Manhattan Murder Mystery (1993)",320.5,90,"more"
"441",493,"Menace II Society (1993)",135.5,37,"more"
"442",494,"Executive Decision (1996)",282,95,"more"
"443",495,"In the Realm of the Senses (Ai no corrida) (1976)",16,6,"one"
"444",496,"What Happened Was... (1994)",21,7,"more"
"445",497,"Much Ado About Nothing (1993)",28,9,"more"
"446",498,"Mr. Jones (1993)",36,9,"more"
"447",499,"Mr. Wonderful (1993)",4,1,"more"
"448",500,"Mrs. Doubtfire (1993)",39.5,11,"more"
"449",501,"Naked (1993)",7,2,"one"
"450",502,"Next Karate Kid, The (1994)",55,16,"more"
"451",504,"No Escape (1994)",24,7,"more"
"452",505,"North (1994)",32,8,"one"
"453",506,"Orlando (1992)",12,5,"more"
"454",507,"Perfect World, A (1993)",382,110,"more"
"455",508,"Philadelphia (1993)",88,31,"one"
"456",509,"Piano, The (1993)",20,6,"more"
"457",510,"Poetic Justice (1993)",842,213,"one"
"458",511,"Program, The (1993)",15,4,"more"
"459",512,"Puppet Masters, The (1994)",7,2,"more"
"460",513,"Radioland Murders (1994)",5,2,"more"
"461",514,"Ref, The (1994)",16.5,5,"one"
"462",515,"Remains of the Day, The (1993)",0,0,"more"
"463",516,"Renaissance Man (1994)",24,7,"more"
"464",517,"Rising Sun (1993)",28,9,"more"
"465",518,"Road to Wellville, The (1994)",17.5,5,"one"
"466",519,"RoboCop 3 (1993)",187,59,"more"
"467",520,"Robin Hood: Men in Tights (1993)",10,3,"one"
"468",521,"Romeo Is Bleeding (1993)",109,33,"more"
"469",522,"Romper Stomper (1992)",25,8,"more"
"470",523,"Ruby in Paradise (1993)",6,3,"one"
"471",524,"Rudy (1993)",190,49,"one"
"472",526,"Savage Nights (Nuits fauves, Les) (1992)",7,2,"one"
"473",527,"Schindler's List (1993)",3,3,"more"
"474",528,"Scout, The (1994)",309,80,"more"
"475",529,"Searching for Bobby Fischer (1993)",130.5,31,"one"
"476",531,"Secret Garden, The (1993)",4,1,"more"
"477",532,"Serial Mom (1994)",57.5,16,"more"
"478",533,"Shadow, The (1994)",0,0,"more"
"479",534,"Shadowlands (1993)",13,4,"more"
"480",535,"Short Cuts (1993)",1015.5,274,"one"
"481",536,"Simple Twist of Fate, A (1994)",107,32,"one"
"482",537,"Sirens (1994)",28.5,10,"one"
"483",538,"Six Degrees of Separation (1993)",11,4,"one"
"484",539,"Sleepless in Seattle (1993)",16.5,6,"more"
"485",540,"Sliver (1993)",153,53,"one"
"486",541,"Blade Runner (1982)",5,2,"more"
"487",542,"Son in Law (1993)",7,2,"more"
"488",543,"So I Married an Axe Murderer (1993)",12.5,4,"more"
"489",544,"Striking Distance (1993)",31.5,12,"more"
"490",546,"Super Mario Bros. (1993)",48,14,"more"
"491",547,"Surviving the Game (1994)",69,21,"more"
"492",548,"Terminal Velocity (1994)",78.5,21,"more"
"493",549,"Thirty-Two Short Films About Glenn Gould (1993)",76,23,"more"
"494",550,"Threesome (1994)",212,61,"more"
